Peer Name,IPv4,ASN,IPv6,Speed (Gbps),Internet Exchange
1-grid.com,196.223.22.45,36943,2001:43f8:1f1::45,10,CINX
1-grid.com,196.60.70.6,36943,2001:43f8:6d1::6,10,NAPAfrica IX Cape Town
123NET fibre,196.223.30.172,61092,2001:43f8:1f2::172,10,DINX
123NET fibre,196.10.141.92,61092,2001:43f8:6d2::92,10,NAPAfrica IX Durban
123NET fibre,196.60.9.148,61092,,10,NAPAfrica IX Johannesburg
123NET fibre,196.60.70.87,61092,,1,NAPAfrica IX Cape Town
215248 - Bastiaan Mathijs Brink,196.60.10.216,215248,2001:43f8:6d0::10:216,10,NAPAfrica IX Johannesburg
Abantu Cloud Africa (Pty) Ltd,196.223.31.247,37739,2001:43f8:1f2::1:247,10,DINX
Abantu Cloud Africa (Pty) Ltd,196.60.70.142,37739,2001:43f8:6d1::142,10,NAPAfrica IX Cape Town
Abantu Cloud Africa (Pty) Ltd,196.10.141.141,37739,2001:43f8:6d2::141,10,NAPAfrica IX Durban
Abantu Cloud Africa (Pty) Ltd,196.60.11.141,37739,2001:43f8:6d0::11:141,10,NAPAfrica IX Johannesburg
Abantu Cloud Africa (Pty) Ltd,196.60.11.142,37739,2001:43f8:6d0::11:142,10,NAPAfrica IX Johannesburg
Abari Communications,196.60.8.202,37395,,20,NAPAfrica IX Johannesburg
ABSA,196.60.70.178,14115,,10,NAPAfrica IX Cape Town
ABSA,196.60.70.177,14115,,10,NAPAfrica IX Cape Town
ABSA,196.10.141.164,14115,,10,NAPAfrica IX Durban
ABSA,196.10.141.163,14115,,10,NAPAfrica IX Durban
ABSA,196.60.9.46,14115,,10,NAPAfrica IX Johannesburg
ABSA,196.60.9.56,14115,,10,NAPAfrica IX Johannesburg
ABSA,196.46.25.196,14115,,10,NAPAfrica MAPS Johannesburg
ABSA,196.46.25.195,14115,,10,NAPAfrica MAPS Johannesburg
Absolute Hosting,196.60.97.14,329166,2001:43f8:1f0::1:14,10,JINX
Absolute Hosting,196.60.9.235,329166,2001:43f8:6d0::9:235,10,NAPAfrica IX Johannesburg
Accelerit,196.60.8.52,327996,2001:43f8:6d0::52,30,NAPAfrica IX Johannesburg
Accelerit,196.223.30.58,327996,2001:43f8:1f2::58,10,DINX
Accelerit,196.60.70.163,327996,2001:43f8:6d1::163,10,NAPAfrica IX Cape Town
Accelerit,196.10.141.49,327996,2001:43f8:6d2::49,10,NAPAfrica IX Durban
Accelerit,196.223.22.58,327996,2001:43f8:1f1::58,1,CINX
Access Point Technologies,196.223.30.143,327761,,10,DINX
Access Point Technologies,196.10.141.85,327761,,1,NAPAfrica IX Durban
Access Point Technologies,196.60.8.148,327761,,1,NAPAfrica IX Johannesburg
AccessGlobal Communication,196.60.96.147,37317,2001:43f8:1f0::147,10,JINX
AccessGlobal Communication,196.60.9.35,37317,2001:43f8:6d0::9:35,10,NAPAfrica IX Johannesburg
ACE CDN,196.60.11.84,139341,2001:43f8:6d0::11:84,100,NAPAfrica IX Johannesburg
Active Fibre,196.60.8.15,328068,2001:43f8:6d0::8068,10,NAPAfrica IX Johannesburg
Active Fibre,196.60.8.16,328068,2001:43f8:6d0::8:16,10,NAPAfrica IX Johannesburg
Active Fibre,196.60.70.134,328068,2001:43f8:6d1::134,1,NAPAfrica IX Cape Town
Active Fibre,196.10.141.15,328068,2001:43f8:6d2::15,1,NAPAfrica IX Durban
Adept Internet,196.60.70.72,15022,2001:43f8:6d1::72,10,NAPAfrica IX Cape Town
Adept Internet,196.60.71.112,15022,2001:43f8:6d1::71:112,10,NAPAfrica IX Cape Town
Adept Internet,196.60.8.72,15022,2001:43f8:6d0::72,10,NAPAfrica IX Johannesburg
Adept Internet,196.223.22.135,15022,2001:43f8:1f1::135,1,CINX
Adept Internet,196.223.22.35,15022,2001:43f8:1f1::35,1,CINX
Adept Internet,196.60.96.35,15022,2001:43f8:1f0::35,1,JINX
Adnexus Celerity Networks,196.60.10.11,328386,2001:43f8:6d0::10:11,10,NAPAfrica IX Johannesburg
AdNotes,196.223.30.231,328795,2001:43f8:1f2::231,10,DINX
AdNotes,196.10.141.57,328795,2001:43f8:6d2::57,10,NAPAfrica IX Durban
AdNotes,196.60.10.197,328795,2001:43f8:6d0::10:197,10,NAPAfrica IX Johannesburg
AEROCOM BROADBAND SERVICES,196.223.30.244,328317,2001:43f8:1f2::244,10,DINX
AEROCOM BROADBAND SERVICES,196.223.30.144,328317,2001:43f8:1f2::144,10,DINX
AEROCOM BROADBAND SERVICES,196.60.70.182,328317,2001:43f8:6d1::182,10,NAPAfrica IX Cape Town
AEROCOM BROADBAND SERVICES,196.60.70.18,328317,2001:43f8:6d1::18,10,NAPAfrica IX Cape Town
AEROCOM BROADBAND SERVICES,196.10.141.105,328317,2001:43f8:6d2::105,10,NAPAfrica IX Durban
AEROCOM BROADBAND SERVICES,196.10.141.205,328317,2001:43f8:6d2::205,10,NAPAfrica IX Durban
AEROCOM BROADBAND SERVICES,196.60.8.128,328317,2001:43f8:6d0::128,10,NAPAfrica IX Johannesburg
AEROCOM BROADBAND SERVICES,196.60.9.122,328317,2001:43f8:6d0::9:122,10,NAPAfrica IX Johannesburg
AEROCOM BROADBAND SERVICES,196.223.22.144,328317,2001:43f8:1f1::144,1,CINX
AEROCOM BROADBAND SERVICES,196.223.22.244,328317,2001:43f8:1f1::244,1,CINX
AEROCOM BROADBAND SERVICES,196.60.96.144,328317,2001:43f8:1f0::144,1,JINX
AEROCOM BROADBAND SERVICES,196.60.96.244,328317,2001:43f8:1f0::244,1,JINX
Afilias,196.223.14.120,12041,2001:43f8:1f0::120,10,JINX
AFR-IX Telecom,196.60.9.214,60171,2001:43f8:6d0::9:214,30,NAPAfrica IX Johannesburg
AFR-IX Telecom,196.223.23.33,60171,2001:43f8:1f1::1:33,10,CINX
AFR-IX Telecom,196.223.31.33,60171,2001:43f8:1f2::1:33,10,DINX
AFR-IX Telecom,196.60.97.33,60171,2001:43f8:1f0::1:33,10,JINX
AFR-IX Telecom,196.60.71.42,60171,2001:43f8:6d1::71:42,10,NAPAfrica IX Cape Town
AFR-IX Telecom,196.10.141.69,60171,2001:43f8:6d2::69,10,NAPAfrica IX Durban
Africa on Cloud,196.60.96.189,328608,2001:43f8:1f0::189,10,JINX
Africa on Cloud,196.60.71.32,328608,2001:43f8:6d1::71:32,10,NAPAfrica IX Cape Town
Africa on Cloud,196.60.10.12,328608,2001:43f8:6d0::10:12,10,NAPAfrica IX Johannesburg
Africanbank,196.46.25.175,37428,,10,NAPAfrica MAPS Johannesburg
Africanbank,196.46.25.174,37428,,10,NAPAfrica MAPS Johannesburg
Africanbank,196.60.9.237,37428,2001:43f8:6d0::9:237,1,NAPAfrica IX Johannesburg
AFRICLOUD,196.60.8.245,209179,2001:43f8:6d0::245,10,NAPAfrica IX Johannesburg
Afrieta,196.60.11.73,329371,2001:43f8:6d0::11:73,10,NAPAfrica IX Johannesburg
Afrieta,196.60.97.50,329371,2001:43f8:1f0::1:50,1,JINX
AFRIMETRO,196.60.11.21,329095,2001:43f8:6d0::11:21,10,NAPAfrica IX Johannesburg
AFRIMETRO,196.60.97.35,329095,2001:43f8:1f0::1:35,1,JINX
AFRINIC,196.60.96.160,33764,2001:43f8:1f0::160,10,JINX
AFRINIC,196.60.96.60,33764,2001:43f8:1f0::60,1,JINX
AFRINIC DNS Support,196.223.22.248,37177,2001:43f8:1f1::248,10,CINX
AFRINIC DNS Support,196.223.30.248,37177,2001:43f8:1f2::248,10,DINX
AFRINIC DNS Support,196.60.96.248,37177,2001:43f8:1f0::248,10,JINX
AFRINIC DNS Support,196.60.120.248,37177,2001:43f8:690::248,10,NMBINX
AFRINIC RFC5855 Service,196.223.22.249,37181,2001:43f8:1f1::249,10,CINX
AFRINIC RFC5855 Service,196.223.30.249,37181,2001:43f8:1f2::249,10,DINX
AFRINIC RFC5855 Service,196.60.96.249,37181,2001:43f8:1f0::249,10,JINX
AFRINIC RFC5855 Service,196.60.120.249,37181,2001:43f8:690::249,10,NMBINX
Agile Solutions Provider,196.60.10.146,328748,2001:43f8:6d0::10:146,20,NAPAfrica IX Johannesburg
Agile Solutions Provider,196.60.10.90,328748,2001:43f8:6d0::10:90,20,NAPAfrica IX Johannesburg
Agile Solutions Provider,196.223.22.96,328748,2001:43f8:1f1::96,10,CINX
Agile Solutions Provider,196.223.30.96,328748,2001:43f8:1f2::96,10,DINX
Agile Solutions Provider,196.60.96.96,328748,2001:43f8:1f0::96,10,JINX
Agile Solutions Provider,196.60.71.82,328748,2001:43f8:6d1::71:82,10,NAPAfrica IX Cape Town
